"","uf","cod_ibge","ano","bimestre","conta","gasto_liquidado"
"336","AL",27,2022,6,"Desenvolvimento Tecnológico e Engenharia",880481.13
"337","AL",27,2022,6,"Difusão do Conhecimento Científico e Tecnológico",2571070
"338","AL",27,2022,6,"FU19 - Administração Geral",5709804.9
"339","AL",27,2022,6,"FU19 - Demais Subfunções",24184931.1
"340","AL",27,2023,1,"Ciência e Tecnologia",10451540.58
"341","AL",27,2023,1,"Desenvolvimento Científico",683075
"342","AL",27,2023,1,"Desenvolvimento Tecnológico e Engenharia",129958.91
"343","AL",27,2023,1,"Difusão do Conhecimento Científico e Tecnológico",111570
"344","AL",27,2023,1,"FU19 - Administração Geral",1515075.81
"345","AL",27,2023,1,"FU19 - Demais Subfunções",8011860.86
"346","AL",27,2023,2,"Ciência e Tecnologia",18758349.64
"347","AL",27,2023,2,"Desenvolvimento Científico",1409824.9
"348","AL",27,2023,2,"Desenvolvimento Tecnológico e Engenharia",713972.71
"349","AL",27,2023,2,"Difusão do Conhecimento Científico e Tecnológico",226220
"350","AL",27,2023,2,"FU19 - Administração Geral",2255895.65
"351","AL",27,2023,2,"FU19 - Demais Subfunções",14152436.38
"352","AL",27,2023,3,"Ciência e Tecnologia",24819295.86
"353","AL",27,2023,3,"Desenvolvimento Científico",3181622.48
"354","AL",27,2023,3,"Desenvolvimento Tecnológico e Engenharia",618630.9
"355","AL",27,2023,3,"Difusão do Conhecimento Científico e Tecnológico",259225.49
"356","AL",27,2023,3,"FU19 - Administração Geral",2770544.22
"357","AL",27,2023,3,"FU19 - Demais Subfunções",17989272.77
"358","AL",27,2023,4,"Ciência e Tecnologia",16488302.01
"359","AL",27,2023,4,"Desenvolvimento Científico",1217079.17
"360","AL",27,2023,4,"Desenvolvimento Tecnológico e Engenharia",655848.26
"361","AL",27,2023,4,"Difusão do Conhecimento Científico e Tecnológico",250330.08
"362","AL",27,2023,4,"FU19 - Administração Geral",2186530.61
"363","AL",27,2023,4,"FU19 - Demais Subfunções",12178513.89
"364","AL",27,2023,5,"Ciência e Tecnologia",23982708.41
"365","AL",27,2023,5,"Desenvolvimento Científico",2343573.52
"366","AL",27,2023,5,"Desenvolvimento Tecnológico e Engenharia",1134199.23
"367","AL",27,2023,5,"Difusão do Conhecimento Científico e Tecnológico",652002.02
"368","AL",27,2023,5,"FU19 - Administração Geral",3793552.88
"369","AL",27,2023,5,"FU19 - Demais Subfunções",16059380.76
"370","AL",27,2023,6,"Ciência e Tecnologia",39170893.14
"371","AL",27,2023,6,"Desenvolvimento Científico",1675917.68
"372","AL",27,2023,6,"Desenvolvimento Tecnológico e Engenharia",1035776.13
"373","AL",27,2023,6,"Difusão do Conhecimento Científico e Tecnológico",1813000
"374","AL",27,2023,6,"FU19 - Administração Geral",5910207.61
"375","AL",27,2023,6,"FU19 - Demais Subfunções",28735991.72
"376","AL",27,2024,1,"Ciência e Tecnologia",9087795.7
"377","AL",27,2024,1,"Desenvolvimento Científico",583402
"378","AL",27,2024,1,"FU19 - Administração Geral",1987265.12
"379","AL",27,2024,1,"FU19 - Demais Subfunções",6517128.58
"380","AL",27,2024,2,"Ciência e Tecnologia",14580274.13
"381","AL",27,2024,2,"Desenvolvimento Científico",877558
"382","AL",27,2024,2,"FU19 - Administração Geral",2222319.54
"383","AL",27,2024,2,"FU19 - Demais Subfunções",11480396.59
"384","AL",27,2024,3,"Ciência e Tecnologia",14103848.98
"385","AL",27,2024,3,"Desenvolvimento Científico",1183038
"386","AL",27,2024,3,"FU19 - Administração Geral",2839035.32
"387","AL",27,2024,3,"FU19 - Demais Subfunções",10081775.66
"388","AL",27,2024,4,"Ciência e Tecnologia",18145618.8
"389","AL",27,2024,4,"Desenvolvimento Científico",950573
"390","AL",27,2024,4,"FU19 - Administração Geral",3340912.01
"391","AL",27,2024,4,"FU19 - Demais Subfunções",13854133.79
"392","AL",27,2024,5,"Ciência e Tecnologia",12763696.24
"393","AL",27,2024,5,"Desenvolvimento Científico",576008
"394","AL",27,2024,5,"FU19 - Administração Geral",2735788.52
"395","AL",27,2024,5,"FU19 - Demais Subfunções",9451899.72
"396","AL",27,2024,6,"Ciência e Tecnologia",22139864.14
